17:36:35.552 -> Humidity: 23.50 %, Temp: 37.80 Celsius
17:36:45.577 -> Humidity: 23.40 %, Temp: 37.80 Celsius
17:36:55.567 -> Humidity: 23.40 %, Temp: 37.80 Celsius
17:37:05.539 -> Humidity: 22.80 %, Temp: 37.70 Celsius
17:37:15.524 -> Humidity: 23.40 %, Temp: 37.60 Celsius
17:37:25.515 -> Humidity: 23.90 %, Temp: 37.40 Celsius
17:37:35.520 -> Humidity: 24.50 %, Temp: 37.30 Celsius
17:37:45.511 -> Humidity: 25.00 %, Temp: 37.30 Celsius
17:37:55.492 -> Humidity: 25.50 %, Temp: 37.20 Celsius
17:38:05.473 -> Humidity: 26.00 %, Temp: 37.20 Celsius
17:38:15.448 -> Humidity: 26.50 %, Temp: 37.20 Celsius
17:38:25.461 -> Humidity: 26.90 %, Temp: 37.10 Celsius
17:38:35.454 -> Humidity: 27.30 %, Temp: 37.10 Celsius
17:38:45.437 -> Humidity: 27.70 %, Temp: 37.00 Celsius
17:38:55.418 -> Humidity: 28.00 %, Temp: 36.90 Celsius
17:39:05.404 -> Humidity: 28.40 %, Temp: 36.90 Celsius
17:39:15.378 -> Humidity: 28.70 %, Temp: 36.90 Celsius
17:39:25.398 -> Humidity: 29.00 %, Temp: 36.80 Celsius
17:39:35.374 -> Humidity: 29.30 %, Temp: 36.80 Celsius
17:39:45.340 -> Humidity: 29.60 %, Temp: 36.70 Celsius
17:39:55.337 -> Humidity: 29.90 %, Temp: 36.70 Celsius
17:40:05.352 -> Humidity: 30.10 %, Temp: 36.70 Celsius
17:40:15.322 -> Humidity: 30.50 %, Temp: 36.70 Celsius
17:40:25.324 -> Humidity: 30.80 %, Temp: 36.60 Celsius
17:40:35.291 -> Humidity: 31.20 %, Temp: 36.60 Celsius
17:40:45.314 -> Humidity: 31.60 %, Temp: 36.60 Celsius
17:40:55.275 -> Humidity: 32.00 %, Temp: 36.60 Celsius
17:41:05.277 -> Humidity: 32.30 %, Temp: 36.50 Celsius
17:41:15.259 -> Humidity: 32.70 %, Temp: 36.50 Celsius
17:41:25.269 -> Humidity: 33.10 %, Temp: 36.50 Celsius
17:41:35.261 -> Humidity: 33.40 %, Temp: 36.50 Celsius
17:41:45.221 -> Humidity: 33.80 %, Temp: 36.50 Celsius
17:41:55.213 -> Humidity: 34.00 %, Temp: 36.50 Celsius
17:42:05.189 -> Humidity: 34.30 %, Temp: 36.50 Celsius
17:42:15.217 -> Humidity: 34.60 %, Temp: 36.50 Celsius
17:42:25.201 -> Humidity: 34.90 %, Temp: 36.50 Celsius
17:42:35.158 -> Humidity: 35.20 %, Temp: 36.50 Celsius
17:42:45.141 -> Humidity: 35.40 %, Temp: 36.50 Celsius
17:42:55.169 -> Humidity: 35.70 %, Temp: 36.50 Celsius
17:43:05.125 -> Humidity: 35.90 %, Temp: 36.50 Celsius
17:43:15.152 -> Humidity: 36.10 %, Temp: 36.50 Celsius
17:43:25.147 -> Humidity: 36.40 %, Temp: 36.50 Celsius
17:43:35.117 -> Humidity: 36.60 %, Temp: 36.50 Celsius
17:43:45.112 -> Humidity: 36.80 %, Temp: 36.50 Celsius
17:43:55.086 -> Humidity: 37.00 %, Temp: 36.50 Celsius
17:44:05.102 -> Humidity: 37.20 %, Temp: 36.50 Celsius
17:44:15.071 -> Humidity: 37.40 %, Temp: 36.50 Celsius
17:44:25.064 -> Humidity: 37.60 %, Temp: 36.50 Celsius
17:44:35.048 -> Humidity: 37.80 %, Temp: 36.50 Celsius
17:44:45.061 -> Humidity: 37.90 %, Temp: 36.50 Celsius
17:44:55.030 -> Humidity: 38.10 %, Temp: 36.50 Celsius
17:45:05.015 -> Humidity: 38.30 %, Temp: 36.60 Celsius
17:45:14.986 -> Humidity: 38.40 %, Temp: 36.60 Celsius
17:45:25.003 -> Humidity: 38.60 %, Temp: 36.60 Celsius
17:45:34.974 -> Humidity: 38.80 %, Temp: 36.60 Celsius
17:45:44.994 -> Humidity: 38.90 %, Temp: 36.60 Celsius
17:45:54.977 -> Humidity: 39.10 %, Temp: 36.60 Celsius
17:46:04.941 -> Humidity: 39.20 %, Temp: 36.60 Celsius
17:46:14.928 -> Humidity: 39.40 %, Temp: 36.70 Celsius
17:46:24.926 -> Humidity: 39.50 %, Temp: 36.70 Celsius
17:46:34.904 -> Humidity: 39.60 %, Temp: 36.70 Celsius
17:46:44.891 -> Humidity: 39.70 %, Temp: 36.70 Celsius
17:46:54.878 -> Humidity: 39.80 %, Temp: 36.70 Celsius
17:47:04.866 -> Humidity: 39.90 %, Temp: 36.70 Celsius
17:47:14.888 -> Humidity: 40.00 %, Temp: 36.70 Celsius
17:47:24.895 -> Humidity: 40.10 %, Temp: 36.70 Celsius
17:47:34.879 -> Humidity: 40.30 %, Temp: 36.80 Celsius
17:47:44.853 -> Humidity: 40.40 %, Temp: 36.80 Celsius
17:47:54.828 -> Humidity: 40.50 %, Temp: 36.80 Celsius
17:48:04.833 -> Humidity: 40.60 %, Temp: 36.80 Celsius
17:48:14.831 -> Humidity: 40.80 %, Temp: 36.80 Celsius
17:48:24.782 -> Humidity: 40.80 %, Temp: 36.80 Celsius
17:48:34.776 -> Humidity: 40.90 %, Temp: 36.80 Celsius
17:48:44.773 -> Humidity: 41.00 %, Temp: 36.80 Celsius
17:48:54.747 -> Humidity: 41.20 %, Temp: 36.80 Celsius
17:49:04.736 -> Humidity: 41.40 %, Temp: 36.90 Celsius
