17:02:57.393 -> Humidity: 30.70 %, Temp: 38.00 Celsius
17:03:07.392 -> Humidity: 30.20 %, Temp: 37.90 Celsius
17:03:17.345 -> Humidity: 30.00 %, Temp: 37.80 Celsius
17:03:27.341 -> Humidity: 30.10 %, Temp: 37.70 Celsius
17:03:37.334 -> Humidity: 30.10 %, Temp: 37.70 Celsius
17:03:47.349 -> Humidity: 30.00 %, Temp: 37.60 Celsius
17:03:57.299 -> Humidity: 30.00 %, Temp: 37.60 Celsius
17:04:07.295 -> Humidity: 30.00 %, Temp: 37.50 Celsius
17:04:17.291 -> Humidity: 30.00 %, Temp: 37.50 Celsius
17:04:27.290 -> Humidity: 30.00 %, Temp: 37.40 Celsius
17:04:37.251 -> Humidity: 30.00 %, Temp: 37.40 Celsius
17:04:47.270 -> Humidity: 30.00 %, Temp: 37.40 Celsius
17:04:57.259 -> Humidity: 30.00 %, Temp: 37.30 Celsius
17:05:07.230 -> Humidity: 30.10 %, Temp: 37.30 Celsius
17:05:17.222 -> Humidity: 30.10 %, Temp: 37.30 Celsius
17:05:27.210 -> Humidity: 30.10 %, Temp: 37.20 Celsius
17:05:37.231 -> Humidity: 30.10 %, Temp: 37.20 Celsius
17:05:47.220 -> Humidity: 30.20 %, Temp: 37.20 Celsius
17:05:57.182 -> Humidity: 30.20 %, Temp: 37.20 Celsius
17:06:07.187 -> Humidity: 30.30 %, Temp: 37.20 Celsius
17:06:17.184 -> Humidity: 30.30 %, Temp: 37.10 Celsius
17:06:27.145 -> Humidity: 30.30 %, Temp: 37.10 Celsius
17:06:37.148 -> Humidity: 30.40 %, Temp: 37.10 Celsius
17:06:47.157 -> Humidity: 30.40 %, Temp: 37.10 Celsius
17:06:57.126 -> Humidity: 30.40 %, Temp: 37.10 Celsius
17:07:07.139 -> Humidity: 30.50 %, Temp: 37.10 Celsius
17:07:17.110 -> Humidity: 30.60 %, Temp: 37.10 Celsius
17:07:27.111 -> Humidity: 30.60 %, Temp: 37.10 Celsius
17:07:37.097 -> Humidity: 30.60 %, Temp: 37.10 Celsius
17:07:47.070 -> Humidity: 30.60 %, Temp: 37.10 Celsius
17:07:57.070 -> Humidity: 30.70 %, Temp: 37.00 Celsius
17:08:07.066 -> Humidity: 30.70 %, Temp: 37.00 Celsius
17:08:17.044 -> Humidity: 30.70 %, Temp: 37.00 Celsius
17:08:27.045 -> Humidity: 30.80 %, Temp: 37.00 Celsius
17:08:37.011 -> Humidity: 30.80 %, Temp: 37.00 Celsius
17:08:47.033 -> Humidity: 30.80 %, Temp: 37.00 Celsius
17:08:56.981 -> Humidity: 30.80 %, Temp: 37.00 Celsius
17:09:06.978 -> Humidity: 30.90 %, Temp: 37.00 Celsius
17:09:16.971 -> Humidity: 30.90 %, Temp: 37.00 Celsius
17:09:26.962 -> Humidity: 30.90 %, Temp: 37.00 Celsius
17:09:36.976 -> Humidity: 31.00 %, Temp: 37.00 Celsius
17:09:46.937 -> Humidity: 31.00 %, Temp: 37.00 Celsius
17:09:56.927 -> Humidity: 31.00 %, Temp: 37.00 Celsius
17:10:06.946 -> Humidity: 31.10 %, Temp: 37.00 Celsius
17:10:16.900 -> Humidity: 31.20 %, Temp: 37.10 Celsius
17:10:26.929 -> Humidity: 31.20 %, Temp: 37.10 Celsius
17:10:36.881 -> Humidity: 31.20 %, Temp: 37.10 Celsius
17:10:46.908 -> Humidity: 31.20 %, Temp: 37.10 Celsius
17:10:56.889 -> Humidity: 31.20 %, Temp: 37.10 Celsius
17:11:06.854 -> Humidity: 31.30 %, Temp: 37.10 Celsius
17:11:16.861 -> Humidity: 31.30 %, Temp: 37.10 Celsius
17:11:26.848 -> Humidity: 31.30 %, Temp: 37.10 Celsius
17:11:36.831 -> Humidity: 31.40 %, Temp: 37.10 Celsius
17:11:46.813 -> Humidity: 31.40 %, Temp: 37.10 Celsius
17:11:56.794 -> Humidity: 31.40 %, Temp: 37.10 Celsius
17:12:06.802 -> Humidity: 31.40 %, Temp: 37.10 Celsius
17:12:16.773 -> Humidity: 31.40 %, Temp: 37.10 Celsius
17:12:26.793 -> Humidity: 31.40 %, Temp: 37.10 Celsius
17:12:36.781 -> Humidity: 31.50 %, Temp: 37.10 Celsius
17:12:46.779 -> Humidity: 31.50 %, Temp: 37.10 Celsius
17:12:56.748 -> Humidity: 31.50 %, Temp: 37.10 Celsius
