16:22:56.700 -> Humidity: 36.80 %, Temp: 36.80 Celsius
16:23:06.681 -> Humidity: 36.90 %, Temp: 36.80 Celsius
16:23:16.688 -> Humidity: 37.10 %, Temp: 36.90 Celsius
16:23:26.649 -> Humidity: 37.10 %, Temp: 36.90 Celsius
16:23:36.653 -> Humidity: 37.20 %, Temp: 36.90 Celsius
16:23:46.629 -> Humidity: 37.20 %, Temp: 36.90 Celsius
16:23:56.648 -> Humidity: 37.30 %, Temp: 36.90 Celsius
16:24:06.643 -> Humidity: 37.30 %, Temp: 36.90 Celsius
16:24:16.624 -> Humidity: 37.40 %, Temp: 36.90 Celsius
16:24:26.618 -> Humidity: 37.40 %, Temp: 36.90 Celsius
16:24:36.588 -> Humidity: 37.50 %, Temp: 36.90 Celsius
16:24:46.582 -> Humidity: 37.60 %, Temp: 36.90 Celsius
16:24:56.557 -> Humidity: 37.70 %, Temp: 36.90 Celsius
16:25:06.536 -> Humidity: 37.80 %, Temp: 36.90 Celsius
16:25:16.569 -> Humidity: 37.80 %, Temp: 36.90 Celsius
16:25:26.527 -> Humidity: 37.90 %, Temp: 36.90 Celsius
16:25:36.525 -> Humidity: 38.00 %, Temp: 36.90 Celsius
16:25:46.511 -> Humidity: 38.10 %, Temp: 37.00 Celsius
16:25:56.487 -> Humidity: 38.20 %, Temp: 37.00 Celsius
16:26:06.493 -> Humidity: 38.20 %, Temp: 37.00 Celsius
16:26:16.483 -> Humidity: 38.30 %, Temp: 37.00 Celsius
16:26:26.470 -> Humidity: 38.40 %, Temp: 37.00 Celsius
16:26:36.468 -> Humidity: 38.40 %, Temp: 37.00 Celsius
16:26:46.460 -> Humidity: 38.50 %, Temp: 37.00 Celsius
16:26:56.432 -> Humidity: 38.50 %, Temp: 37.00 Celsius
16:27:06.412 -> Humidity: 38.60 %, Temp: 37.00 Celsius
16:27:16.398 -> Humidity: 38.70 %, Temp: 37.00 Celsius
16:27:26.425 -> Humidity: 38.70 %, Temp: 37.00 Celsius
16:27:36.415 -> Humidity: 38.80 %, Temp: 37.00 Celsius
16:27:46.386 -> Humidity: 38.80 %, Temp: 37.00 Celsius
16:27:56.394 -> Humidity: 38.80 %, Temp: 37.00 Celsius
16:28:06.385 -> Humidity: 38.90 %, Temp: 37.00 Celsius
16:28:16.376 -> Humidity: 39.00 %, Temp: 37.00 Celsius
16:28:26.322 -> Humidity: 39.00 %, Temp: 37.00 Celsius
16:28:36.351 -> Humidity: 39.10 %, Temp: 37.00 Celsius
16:28:46.309 -> Humidity: 39.30 %, Temp: 37.10 Celsius
16:28:56.306 -> Humidity: 39.30 %, Temp: 37.10 Celsius
16:29:06.295 -> Humidity: 39.30 %, Temp: 37.10 Celsius
16:29:16.304 -> Humidity: 39.30 %, Temp: 37.10 Celsius
16:29:26.265 -> Humidity: 39.30 %, Temp: 37.10 Celsius
16:29:36.291 -> Humidity: 39.40 %, Temp: 37.10 Celsius
16:29:46.235 -> Humidity: 39.40 %, Temp: 37.10 Celsius
16:29:56.238 -> Humidity: 39.40 %, Temp: 37.10 Celsius
16:30:06.236 -> Humidity: 39.50 %, Temp: 37.10 Celsius
16:30:16.219 -> Humidity: 39.60 %, Temp: 37.10 Celsius
16:30:26.229 -> Humidity: 39.70 %, Temp: 37.10 Celsius
16:30:36.224 -> Humidity: 39.80 %, Temp: 37.10 Celsius
16:30:46.178 -> Humidity: 39.90 %, Temp: 37.10 Celsius
16:30:56.174 -> Humidity: 39.90 %, Temp: 37.10 Celsius
16:31:06.164 -> Humidity: 40.00 %, Temp: 37.10 Celsius
16:31:16.167 -> Humidity: 40.00 %, Temp: 37.10 Celsius
16:31:26.172 -> Humidity: 40.00 %, Temp: 37.10 Celsius
16:31:36.145 -> Humidity: 40.10 %, Temp: 37.10 Celsius
16:31:46.119 -> Humidity: 40.10 %, Temp: 37.10 Celsius
16:31:56.101 -> Humidity: 40.20 %, Temp: 37.10 Celsius
16:32:06.096 -> Humidity: 40.20 %, Temp: 37.10 Celsius
16:32:16.080 -> Humidity: 40.30 %, Temp: 37.10 Celsius
16:32:26.110 -> Humidity: 40.30 %, Temp: 37.10 Celsius
16:32:36.091 -> Humidity: 40.40 %, Temp: 37.10 Celsius
16:32:46.052 -> Humidity: 40.40 %, Temp: 37.10 Celsius
16:32:56.058 -> Humidity: 40.50 %, Temp: 37.10 Celsius
16:33:06.064 -> Humidity: 40.50 %, Temp: 37.10 Celsius
16:33:16.042 -> Humidity: 40.60 %, Temp: 37.10 Celsius
16:33:25.994 -> Humidity: 40.60 %, Temp: 37.10 Celsius
16:33:36.001 -> Humidity: 40.70 %, Temp: 37.10 Celsius
16:33:46.017 -> Humidity: 40.70 %, Temp: 37.10 Celsius
16:33:55.998 -> Humidity: 40.70 %, Temp: 37.10 Celsius
16:34:05.994 -> Humidity: 40.80 %, Temp: 37.10 Celsius
16:34:15.989 -> Humidity: 40.80 %, Temp: 37.10 Celsius
16:34:25.965 -> Humidity: 40.90 %, Temp: 37.10 Celsius
16:34:35.964 -> Humidity: 41.00 %, Temp: 37.10 Celsius
16:34:45.954 -> Humidity: 41.00 %, Temp: 37.10 Celsius
16:34:55.936 -> Humidity: 41.10 %, Temp: 37.20 Celsius
16:35:05.926 -> Humidity: 41.10 %, Temp: 37.20 Celsius
16:35:15.910 -> Humidity: 41.10 %, Temp: 37.10 Celsius
16:35:25.890 -> Humidity: 41.20 %, Temp: 37.20 Celsius
16:35:35.861 -> Humidity: 41.30 %, Temp: 37.10 Celsius
16:35:45.845 -> Humidity: 41.30 %, Temp: 37.10 Celsius
16:35:55.857 -> Humidity: 41.40 %, Temp: 37.10 Celsius
16:36:05.855 -> Humidity: 41.40 %, Temp: 37.10 Celsius
16:36:15.841 -> Humidity: 41.50 %, Temp: 37.10 Celsius
16:36:25.811 -> Humidity: 41.60 %, Temp: 37.10 Celsius
16:36:35.818 -> Humidity: 41.60 %, Temp: 37.10 Celsius
16:36:45.795 -> Humidity: 41.70 %, Temp: 37.20 Celsius
16:36:55.768 -> Humidity: 41.70 %, Temp: 37.10 Celsius
16:37:05.798 -> Humidity: 41.80 %, Temp: 37.20 Celsius
16:37:15.754 -> Humidity: 41.90 %, Temp: 37.20 Celsius
16:37:25.753 -> Humidity: 41.80 %, Temp: 37.10 Celsius
16:37:35.773 -> Humidity: 41.90 %, Temp: 37.20 Celsius
16:37:45.754 -> Humidity: 42.00 %, Temp: 37.20 Celsius
16:37:55.735 -> Humidity: 42.00 %, Temp: 37.20 Celsius
16:38:05.739 -> Humidity: 42.00 %, Temp: 37.20 Celsius
16:38:15.685 -> Humidity: 41.90 %, Temp: 37.10 Celsius
16:38:25.682 -> Humidity: 42.00 %, Temp: 37.20 Celsius
16:38:35.670 -> Humidity: 42.00 %, Temp: 37.20 Celsius
16:38:45.687 -> Humidity: 42.00 %, Temp: 37.20 Celsius
16:38:55.683 -> Humidity: 42.10 %, Temp: 37.20 Celsius
16:39:05.664 -> Humidity: 42.10 %, Temp: 37.20 Celsius
16:39:15.640 -> Humidity: 42.20 %, Temp: 37.20 Celsius
16:39:25.653 -> Humidity: 42.20 %, Temp: 37.20 Celsius
16:39:35.634 -> Humidity: 42.20 %, Temp: 37.20 Celsius
16:39:45.589 -> Humidity: 42.20 %, Temp: 37.20 Celsius
16:39:55.576 -> Humidity: 42.30 %, Temp: 37.20 Celsius
16:40:05.594 -> Humidity: 42.40 %, Temp: 37.20 Celsius
16:40:15.583 -> Humidity: 42.50 %, Temp: 37.20 Celsius
16:40:25.581 -> Humidity: 42.50 %, Temp: 37.20 Celsius
16:40:35.547 -> Humidity: 42.50 %, Temp: 37.20 Celsius
16:40:45.557 -> Humidity: 42.50 %, Temp: 37.20 Celsius
