15:59:03.313 -> Humidity: 34.80 %, Temp: 36.80 Celsius
15:59:13.294 -> Humidity: 34.80 %, Temp: 36.80 Celsius
15:59:23.279 -> Humidity: 34.80 %, Temp: 36.80 Celsius
15:59:33.265 -> Humidity: 34.80 %, Temp: 36.80 Celsius
15:59:43.270 -> Humidity: 34.80 %, Temp: 36.80 Celsius
15:59:53.241 -> Humidity: 34.80 %, Temp: 36.80 Celsius
16:00:03.230 -> Humidity: 34.90 %, Temp: 36.90 Celsius
16:00:13.224 -> Humidity: 34.90 %, Temp: 36.90 Celsius
16:00:23.219 -> Humidity: 34.90 %, Temp: 36.90 Celsius
16:00:33.184 -> Humidity: 34.90 %, Temp: 36.90 Celsius
16:00:43.171 -> Humidity: 34.80 %, Temp: 36.90 Celsius
16:00:53.202 -> Humidity: 34.80 %, Temp: 36.90 Celsius
16:01:03.179 -> Humidity: 34.80 %, Temp: 36.90 Celsius
16:01:13.173 -> Humidity: 34.80 %, Temp: 36.90 Celsius
16:01:23.145 -> Humidity: 34.80 %, Temp: 36.90 Celsius
16:01:33.158 -> Humidity: 34.90 %, Temp: 37.00 Celsius
16:01:43.110 -> Humidity: 34.80 %, Temp: 36.90 Celsius
16:01:53.131 -> Humidity: 34.90 %, Temp: 37.00 Celsius
16:02:03.108 -> Humidity: 34.90 %, Temp: 37.00 Celsius
16:02:13.111 -> Humidity: 34.90 %, Temp: 37.00 Celsius
16:02:23.072 -> Humidity: 34.90 %, Temp: 37.00 Celsius
16:02:33.102 -> Humidity: 35.00 %, Temp: 37.00 Celsius
16:02:43.070 -> Humidity: 35.00 %, Temp: 37.00 Celsius
16:02:53.082 -> Humidity: 35.00 %, Temp: 37.00 Celsius
16:03:03.030 -> Humidity: 35.10 %, Temp: 37.10 Celsius
16:03:13.017 -> Humidity: 35.00 %, Temp: 37.00 Celsius
16:03:23.035 -> Humidity: 35.00 %, Temp: 37.00 Celsius
16:03:33.011 -> Humidity: 35.00 %, Temp: 37.00 Celsius
16:03:43.000 -> Humidity: 35.00 %, Temp: 37.10 Celsius
16:03:52.994 -> Humidity: 35.00 %, Temp: 37.10 Celsius
16:04:02.973 -> Humidity: 35.00 %, Temp: 37.10 Celsius
16:04:12.980 -> Humidity: 35.10 %, Temp: 37.10 Celsius
16:04:22.958 -> Humidity: 35.10 %, Temp: 37.10 Celsius
16:04:32.957 -> Humidity: 35.10 %, Temp: 37.10 Celsius
16:04:42.964 -> Humidity: 35.10 %, Temp: 37.10 Celsius
16:04:52.930 -> Humidity: 35.10 %, Temp: 37.10 Celsius
16:05:02.932 -> Humidity: 35.20 %, Temp: 37.10 Celsius
16:05:12.900 -> Humidity: 35.20 %, Temp: 37.10 Celsius
16:05:22.879 -> Humidity: 35.30 %, Temp: 37.10 Celsius
16:05:32.888 -> Humidity: 35.30 %, Temp: 37.10 Celsius
16:05:42.877 -> Humidity: 35.30 %, Temp: 37.10 Celsius
16:05:52.850 -> Humidity: 35.30 %, Temp: 37.10 Celsius
16:06:02.861 -> Humidity: 35.40 %, Temp: 37.20 Celsius
16:06:12.841 -> Humidity: 35.40 %, Temp: 37.20 Celsius
16:06:22.841 -> Humidity: 35.40 %, Temp: 37.20 Celsius
16:06:32.812 -> Humidity: 35.40 %, Temp: 37.20 Celsius
16:06:42.796 -> Humidity: 35.40 %, Temp: 37.20 Celsius
16:06:52.807 -> Humidity: 35.40 %, Temp: 37.20 Celsius
16:07:02.797 -> Humidity: 35.40 %, Temp: 37.20 Celsius
16:07:12.791 -> Humidity: 35.40 %, Temp: 37.20 Celsius
16:07:22.769 -> Humidity: 35.40 %, Temp: 37.20 Celsius
16:07:32.744 -> Humidity: 35.40 %, Temp: 37.20 Celsius
16:07:42.759 -> Humidity: 35.40 %, Temp: 37.20 Celsius
16:07:52.742 -> Humidity: 35.40 %, Temp: 37.30 Celsius
16:08:02.711 -> Humidity: 35.30 %, Temp: 37.20 Celsius
16:08:12.710 -> Humidity: 35.40 %, Temp: 37.30 Celsius
